,schedule_season,team_home,score_home,score_away,team_away,team_favorite_id,spread_favorite,over_under_line,stadium
3170,2012,WAS,13,21,CAR,WAS,-3.0,48.5,FedEx Field
3171,2012,NO,28,13,PHI,NO,-3.0,52.0,Mercedes-Benz Superdome
3172,2012,JAX,10,27,IND,IND,-3.5,43.5,TIAA Bank Field
3173,2012,BAL,55,20,LVR,BAL,-7.5,47.5,M&T Bank Stadium
3174,2012,CAR,14,36,DEN,DEN,-4.0,47.0,Bank of America Stadium
3175,2012,CHI,6,13,HOU,CHI,-1.0,40.0,Soldier Field
3176,2012,CIN,31,13,NYG,NYG,-4.5,47.5,Paul Brown Stadium
3177,2012,MIA,3,37,TEN,MIA,-7.0,44.0,Hard Rock Stadium
3178,2012,MIN,34,24,DET,DET,-3.0,45.5,Mall of America Field
3179,2012,NE,37,31,BUF,NE,-13.5,54.0,Gillette Stadium
3180,2012,NO,31,27,ATL,ATL,-1.5,54.0,Mercedes-Benz Superdome
3181,2012,PHI,23,38,DAL,DAL,-2.5,44.5,Lincoln Financial Field
3182,2012,SF,24,24,LAR,SF,-13.0,38.0,Candlestick Park
3183,2012,SEA,28,7,NYJ,SEA,-5.5,38.5,CenturyLink Field
3184,2012,TB,34,24,LAC,TB,-3.0,47.0,Raymond James Stadium
3185,2012,PIT,16,13,KC,PIT,-13.0,40.0,Heinz Field
3186,2012,BUF,19,14,MIA,BUF,-2.5,46.0,New Era Field
3187,2012,ATL,23,19,ARI,ATL,-9.5,44.0,Georgia Dome
3188,2012,CAR,21,27,TB,TB,-1.5,47.0,Bank of America Stadium
3189,2012,DAL,23,20,CLE,DAL,-7.0,43.5,AT&T Stadium
3190,2012,DEN,30,23,LAC,DEN,-7.5,48.0,Sports Authority Field at Mile High
3191,2012,DET,20,24,GB,GB,-3.0,53.5,Ford Field
3192,2012,HOU,43,37,JAX,HOU,-15.5,40.5,NRG Stadium
3193,2012,KC,6,28,CIN,CIN,-3.0,42.5,Arrowhead Stadium
3194,2012,NE,59,24,IND,NE,-10.0,55.0,Gillette Stadium
3195,2012,LVR,17,38,NO,NO,-6.5,56.0,Oakland Coliseum
3196,2012,PIT,10,13,BAL,BAL,-3.0,40.5,Heinz Field
3197,2012,LAR,13,27,NYJ,LAR,-3.5,38.5,Edward Jones Dome
3198,2012,WAS,31,6,PHI,WAS,-3.5,46.0,FedEx Field
3199,2012,SF,32,7,CHI,SF,-5.0,35.0,Candlestick Park
3200,2012,DAL,31,38,WAS,DAL,-3.5,47.5,AT&T Stadium
3201,2012,DET,31,34,HOU,HOU,-4.0,49.0,Ford Field
3202,2012,NYJ,19,49,NE,NE,-7.0,48.5,MetLife Stadium
3203,2012,ARI,17,31,LAR,ARI,-1.0,36.5,University of Phoenix Stadium
3204,2012,CHI,28,10,MIN,CHI,-6.5,39.0,Soldier Field
3205,2012,CIN,34,10,LVR,CIN,-8.0,51.0,Paul Brown Stadium
3206,2012,CLE,20,14,PIT,PIT,-2.0,33.5,FirstEnergy Stadium
3207,2012,IND,20,13,BUF,IND,-3.0,51.5,Lucas Oil Stadium
3208,2012,JAX,24,19,TEN,TEN,-3.5,45.0,TIAA Bank Field
3209,2012,KC,9,17,DEN,DEN,-10.5,42.5,Arrowhead Stadium
3210,2012,MIA,24,21,SEA,SEA,-3.0,38.0,Hard Rock Stadium
3211,2012,NO,21,31,SF,SF,-1.5,50.0,Mercedes-Benz Superdome
3212,2012,NYG,38,10,GB,NYG,-2.5,51.5,MetLife Stadium
3213,2012,LAC,13,16,BAL,BAL,-1.0,47.0,Qualcomm Stadium
3214,2012,TB,23,24,ATL,ATL,-1.5,51.5,Raymond James Stadium
3215,2012,PHI,22,30,CAR,CAR,-3.0,42.0,Lincoln Financial Field
3216,2012,ATL,23,13,NO,ATL,-3.5,55.0,Georgia Dome
3217,2012,BAL,20,23,PIT,BAL,-7.5,36.5,M&T Bank Stadium
3218,2012,BUF,34,18,JAX,BUF,-6.0,42.0,New Era Field
3219,2012,CHI,17,23,SEA,CHI,-3.5,37.0,Soldier Field
3220,2012,DAL,38,33,PHI,DAL,-10.5,44.0,AT&T Stadium
